file plane "QP knob" "QP calc" error
/home/edelafue/cernbox/measurements/HTModeZeroGrow/2023/meas/SPS.BQHT_MD2_20230824_115423.h5 H -1.4 -1.4040000000000001 -0.0028571428571430185
/home/edelafue/cernbox/measurements/HTModeZeroGrow/2023/meas/SPS.BQHT_MD2_20230824_115135.h5 H -1.3 -1.26 -0.030769230769230795
/home/edelafue/cernbox/measurements/HTModeZeroGrow/2023/meas/SPS.BQHT_MD2_20230824_112211.h5 H -0.9 -0.804 -0.10666666666666663
/home/edelafue/cernbox/measurements/HTModeZeroGrow/2023/meas/SPS.BQHT_MD2_20230824_111017.h5 H -0.8 -0.804 -0.0050000000000000044
/home/edelafue/cernbox/measurements/HTModeZeroGrow/2023/meas/SPS.BQHT_MD2_20230824_110359.h5 H -0.6 -0.528 -0.11999999999999993
/home/edelafue/cernbox/measurements/HTModeZeroGrow/2023/meas/SPS.BQHT_MD2_20230824_105823.h5 H -0.55 -0.516 -0.06181818181818187
/home/edelafue/cernbox/measurements/HTModeZeroGrow/2023/meas/SPS.BQHT_MD2_20230824_105247.h5 H -0.4 -0.372 -0.07000000000000006
/home/edelafue/cernbox/measurements/HTModeZeroGrow/2023/meas/SPS.BQHT_MD2_20230824_104917.h5 H -0.35 -0.372 -0.06285714285714292
/home/edelafue/cernbox/measurements/HTModeZeroGrow/2023/meas/SPS.BQHT_MD2_20230824_103229.h5 H -0.2 -0.21599999999999997 -0.0799999999999998
/home/edelafue/cernbox/measurements/HTModeZeroGrow/2023/meas/SPS.BQHT_MD2_20230704_113250.h5 H -0.05 -0.07200000000000001 -0.4400000000000001
