time,QPH,QPV,grstart,grend,slope,intensity,error,nturns,acqPeriod


2022.08.30.09.56.01.038940,0.05,0.1,38.111448437959055,193.65474779928107,0.0003637277064013295,2.961443,8.746746578983267e-05,229630,1661846160444000000
2022.08.30.10.12.23.868699,0.05,0.0,19.58930565076878,41.69677075397168,0.001970529518596677,2.9900236,0.0008325393718704322,229629,1661847143244000000
2022.08.30.10.12.49.136179,0.05,0.0,16.78292037998237,44.94856537582456,0.0017192708527287647,2.9535377,0.000982852705906475,229630,1661847168444000000
2022.08.30.10.13.14.247953,0.05,0.0,16.221643325825085,45.45593758632642,0.0015743166529166679,2.900633,0.001121455754038018,229630,1661847193644000000
2022.08.30.10.14.04.674573,0.05,0.0,19.58930565076878,40.866525318604985,0.0018932597817458933,3.0027938,0.0007769917514628514,229629,1661847244044000000
2022.08.30.10.14.29.880200,0.05,0.0,18.46675154245422,46.193933528874595,0.001780294353548213,2.8951604,0.0008765872503714178,229630,1661847269244000000
2022.08.30.10.25.50.241910,0.05,-0.1,16.62273781902553,32.287322486482495,0.00255161511336967,nan,0.003975696536499922,229630,1661847949644000000
2022.08.30.11.09.31.103820,0.05,-0.2,14.21259426109097,25.66842137675358,0.0039711172668392926,2.910971,0.008252230466631793,229630,1661850570444000000
2022.08.30.11.09.56.366655,0.05,-0.2,13.654137694643026,25.875982735595255,0.00393026819025669,2.900633,0.0070518907112219415,229630,1661850595644000000
2022.08.30.11.10.21.513027,0.05,-0.2,13.374909411419054,26.890727156598988,0.003793320310213118,2.8434718,0.0067081271606710124,229631,1661850620844000000
2022.08.30.11.10.46.684285,0.05,-0.2,13.374909411419054,25.137986793047084,0.004073389646157077,2.9851592,0.006910561628008136,229635,1661850646044000000
2022.08.30.11.11.11.864765,0.05,-0.2,15.050279110762894,25.945169855209144,0.0038592252832957935,2.9079304,0.009000138657878099,229630,1661850671244000000
2022.08.30.11.08.15.448418,0.05,-0.3,16.44642052688277,26.2911054532786,0.004954676985070419,2.9140112,0.008970986364030969,229629,1661850494844000000
2022.08.30.11.09.05.867270,0.05,-0.3,18.95947507589853,27.098288515440665,0.004344961471138558,3.0599551,0.015315908167329934,229633,1661850545244000000
2022.08.30.11.12.27.441800,0.05,-0.3,15.329507393986866,26.406417319301752,0.005186353300076591,3.027726,0.00813352925294673,229630,1661850746844000000
2022.08.30.11.12.52.676288,0.05,-0.3,17.284105376554685,26.890727156598988,0.00525354619372321,3.027726,0.010870008131772559,229630,1661850772044000000
2022.08.30.11.22.32.239127,0.05,-0.4,17.563333659778664,26.77541529057584,0.0054212595296544725,3.0113072,0.017470851442954866,229630,1661851351644000000
2022.08.30.11.22.57.448324,0.05,-0.4,15.887963960434817,26.452542065711015,0.005592206029163933,2.9644837,0.01291064749862115,229631,1661851376844000000
2022.08.30.11.23.22.647184,0.05,-0.4,17.284105376554685,27.836284457988835,0.0054077753414819175,2.99124,0.014738053201464775,229631,1661851402044000000
2022.08.30.11.23.47.893802,0.05,-0.4,17.004877093330713,28.8740912521972,0.00491524413715639,2.960227,0.01504696718430235,229630,1661851427244000000
