qpv slope error
0.075 0.0 0.0
0.075 0.0005343833220342441 5.906509215282791e-07
0.075 0.00047662405970522545 1.2336307897654183e-06
0.075 0.0005205163310779461 6.648605561472207e-07
0.075 0.0004946875376122099 1.1799287851948392e-06
0.075 0.0005070293235164882 6.495994313034445e-07
0.175 0.0 0.0
0.175 0.0 0.0
0.175 0.0 0.0
0.175 0.0 0.0
0.175 0.0 0.0
0.08 0.00042166103303666145 6.958449704655433e-07
0.08 0.00040624601459307515 8.49626061866654e-07
0.08 0.00040824469969484947 8.708197570559843e-07
0.08 0.0004201387063734206 5.648793753631646e-07
0.08 0.00038775240080434213 1.0232146198291883e-06
-0.02 0.0016819433593383058 1.1340835228420526e-06
-0.02 0.001717639388006596 1.9028512706945946e-06
-0.02 0.0016555458117042071 1.70293910278575e-06
-0.02 0.0017396374570590822 1.5656635937004063e-06
0.0 0.0015567484553540947 1.5847573363479765e-06
0.0 0.0015374164012318318 1.6746090470232745e-06
0.0 0.0015705442141056678 2.459671890756794e-06
0.0 0.0015679709846594383 1.2723072396528546e-06
0.0 0.0015656970838922736 1.1425619898566482e-06
0.0 0.0015543431177112471 1.8447539887946292e-06
-0.1 0.001994095500623296 3.2697338439912783e-06
-0.1 0.0019595938930204583 7.174645597700346e-06
-0.1 0.0020479530199708587 7.523246890399767e-06
-0.1 0.00200107735838963 6.431367203032013e-06
-0.15 0.002192497018964107 1.2194127704930615e-05
-0.15 0.0021626148471367663 6.359253758858522e-06
-0.15 0.0022661317631193605 1.1604409216121056e-05
-0.15 0.0021115836520428834 2.531387481036553e-05
-0.15 0.0022480516750567328 3.0550003886338236e-05
-0.05 0.0019036443816669527 2.6730585321602533e-06
-0.05 0.0018484811642500687 2.5520571480652064e-06
-0.05 0.0018315978998917723 1.9136875282734185e-06
-0.05 0.0018709745930417267 2.5888230430399507e-06
-0.2 0.002261343231446903 1.7658394464747493e-05
-0.2 0.002211902502708608 1.2764881667529364e-05
-0.2 0.0023224473612786034 2.9825500005425484e-05
-0.25 0.002704784752589242 2.899242281681701e-05
-0.25 0.0026768812341879658 3.180808423695769e-05
-0.25 0.002473197779990993 3.229654264376426e-05
-0.25 0.0021274420221749145 3.0036095432667745e-05
-0.3 0.0036486247410077604 1.8368435610197993e-05
-0.3 0.0033909453134618487 2.858348367882415e-05
-0.3 0.0032733113193296197 3.698706479572298e-05
-0.3 0.003445534645140247 1.733166573956064e-05
-0.35 0.00313145313788617 1.3383708716653842e-05
-0.35 0.0032789195024461476 2.484832684617756e-05
-0.35 0.003021406234366108 1.850262062300272e-05
-0.35 0.00315198402875459 1.6423913820950322e-05
-0.35 0.00319373031138664 1.8820121079371365e-05
-0.4 0.0027531896039501612 2.216159939103675e-05
-0.4 0.0026068083406622427 2.5110515765125607e-05
-0.4 0.0026792235415047994 1.969877844460384e-05
-0.45 0.0028317769800624763 4.396169475978865e-05
-0.45 0.0026765197036471926 4.4526681541571335e-05
-0.45 0.00296972327527994 5.987163498767488e-05
-0.45 0.0027392362199577655 5.646367800400637e-05
-0.45 0.0 0.0
-0.45 0.003094817437845401 9.229444761761366e-05
-0.45 0.0032297691988071174 5.230281482226812e-05
-0.45 0.0025827998515671807 4.43669229101666e-05
-0.45 0.002884962180253389 9.510938768059965e-05
-0.45 0.002606673296943417 5.831104168386329e-05
-0.5 0.003486405569035589 4.504930141605124e-05
-0.5 0.0033595047722954517 5.252707879526072e-05
-0.5 0.00336497359696604 5.113196220357575e-05
-0.5 0.0037448371880088043 7.645789867194153e-05
-0.5 0.00392927153068838 7.566279479819404e-05
-0.55 0.00377548189344563 4.970400151114747e-05
-0.55 0.0035343157707372758 5.11783271681027e-05
-0.55 0.003583271546347945 4.916634733802148e-05
-0.55 0.0034812277126873015 5.0273236846260375e-05
-0.6 0.0025256355119968195 9.725310127885428e-05
-0.6 0.0033887211412526753 9.260370061276474e-05
-0.6 0.0029659074515938416 0.00010198744095329868
-0.6 0.003217270119800659 8.660252039172821e-05
-0.65 0.002712618315218774 9.005609655576982e-05
-0.65 0.002995512509176637 0.00010095925687763385
-0.65 0.0032726408286605627 8.434408504022633e-05
-0.65 0.0030043188252081216 0.00010944612193269375
-0.65 0.0029724509476945393 0.00011459388868770905
-0.7 0.003001815231804505 8.003211969061028e-05
-0.7 0.0 7.500947882806262e-05
-0.7 0.0028366376948566687 0.00010389716811599226
-0.7 0.002985602431095487 7.134894435198471e-05
-0.7 0.0027099535717147512 6.226417614145342e-05
-0.7 0.004290413449067472 0.0001271223049354651
-0.7 0.003294405448043917 0.00019107978299104606
-0.75 0.00324643860557727 0.0001518585895404498
-0.75 0.004271479913131237 9.88577978270683e-05
-0.75 0.0028852618841427036 7.420494012839925e-05
-0.75 0.003765263678327452 8.497767775828837e-05
-0.75 0.003133068197954349 7.823654568132772e-05
-0.75 0.003547345314758301 7.504180954726846e-05
-0.75 0.003944871865055354 0.00012593525811693248
-0.8 0.003115158545528745 5.208684443994943e-05
-0.8 0.0034287209951309986 7.64993342521416e-05
-0.8 0.0031794167020396877 5.217872103977234e-05
-0.8 0.002960997389495057 5.076379385880076e-05
-0.8 0.0030812655044476227 5.4878358438988626e-05
-0.8 0.003073520796848498 6.245223682444908e-05
-0.85 0.002245029085033179 3.624484452081784e-05
-0.85 0.0 4.640045659946303e-05
-0.9 0.002725499759336246 5.139352302149988e-05
-0.9 0.0020185017639749417 5.06572980280057e-05
-0.95 0.002196830954779376 5.5666677868097536e-05
-0.95 0.0027668097217698334 3.0501413268775993e-05
-0.95 0.0026082356334304804 3.70342248601594e-05
-0.95 0.002338222283831506 3.950532443382892e-05
-1.0 0.0026099780809553303 5.8017484579711295e-05
-1.0 0.002215700956907791 4.4545587124372274e-05
-1.0 0.0026776461437977793 4.4785308018263875e-05
-1.0 0.0 0.00010758323286776758
-1.0 0.002794930614717291 6.036106435550767e-05
-1.0 0.0035265392416091797 9.051916401323196e-05
-1.0 0.002478369385603205 5.834149533191876e-05
-1.05 0.003292022671952513 8.200866423568275e-05
-1.05 0.003923964175216113 7.512428390477407e-05
-1.05 0.0025820271320813742 5.940508626248288e-05
-1.05 0.0029577235583411444 5.579384599077624e-05
-1.1 0.0028126361010747817 9.752190047700677e-05
-1.1 0.0 0.0018508068059448707
-1.1 0.003630644618765893 8.946569655432272e-05
-1.15 0.004084360030631681 9.60173248704678e-05
-1.15 0.0037287129953603756 0.0002401246011150548
-1.15 0.0033420038658198135 0.0001017353922667886
-1.2 0.004660996168317016 0.00012819703137139792
-1.2 0.0 0.0002233481602859686
-1.25 0.005525244694289027 0.00025330618908624494
-1.25 0.00437290457343711 0.0002000300638766949
-1.25 0.004556167953320303 0.0002720737483783248
-1.3 0.0028112819050793406 0.00013473976345227903
-1.3 0.0033573526965756965 0.0003691224462476606
-1.35 0.0030128638522066405 0.00018532560477776136
-1.35 0.0027129652316737435 0.00020078903274767487
-1.4 0.0025570979583573105 6.023208189887885e-05
-1.4 0.002520515318425042 5.692871267586279e-05
-1.45 0.0021446441084111414 3.1680611434622546e-05
-1.45 0.001973162340015497 3.3065509219828e-05
-1.5 0.0015417403863134524 2.357110681212228e-05
-1.5 0.0016661426845535426 2.1744089221344204e-05
-1.55 0.0010340220338127541 1.788927731924901e-05
-1.55 0.0012072453664039408 1.5650030509609495e-05
-1.6 0.0007358426182473048 1.9708287151865987e-05
-1.6 0.0009212971753549927 2.2427225653962374e-05
-1.65 0.0008576037963940013 3.134521013945745e-05
-1.65 0.0008054301128179994 1.515536434318319e-05
-1.65 0.0008500486223521884 2.3079234273365315e-05
-1.7 0.000745529517893934 1.2765105321835167e-05
-1.7 0.0007160936329172714 8.473795926908655e-06
-1.8 0.0006690840063159088 2.2831664357219485e-05
-1.8 0.0006514813930766291 3.700115434148123e-05
-1.8 0.0005334602044151625 4.5841263257730994e-05
-1.9 0.0004414847419834976 1.8166199498723648e-05
-2.0 0.0005204178536102296 8.313249361807228e-06
