qpv slope error
-0.1 0.003601861499909906 3.599126341508864e-05
-0.1 0.003765568876074274 3.301840898216418e-05
-0.1 0.004015880194102808 1.8317445416690128e-05
-0.1 0.0038396042876983573 2.2369967986652092e-05
-0.1 0.0033672110206159666 3.6060545350379246e-05
-0.1 0.00401264737591527 3.4121903408061345e-05
-0.1 0.003785699719610204 2.597919945392148e-05
-0.1 0.003931139109499016 1.9285196227884113e-05
-0.1 0.0032798148825902806 1.1107527271445693e-05
-0.1 0.0032273431554017905 2.1178466460367903e-05
-0.1 0.003449991627323129 3.0028285376409777e-05
-0.1 0.003917476753269033 1.867584903870879e-05
-0.1 0.003956362318871277 2.664868018638935e-05
-0.3 0.003475855120629785 8.058904183998342e-05
-0.3 0.004602358951387537 4.920137317443051e-05
-0.3 0.005046859746032812 0.00011740848268708867
-0.3 0.003290966216018869 6.702117118482925e-05
-0.3 0.003808361017934256 6.919593957092417e-05
-0.3 0.0041142881422194 4.765857940986612e-05
-0.3 0.004657880701581398 6.689278955697419e-05
-0.3 0.003588236230016053 7.306175319171226e-05
-0.3 0.005132834691687412 7.314043248518698e-05
-0.3 0.004275157019841689 5.085182678449763e-05
-0.3 0.005154178179432971 4.547729530006115e-05
-0.3 0.0034201317835725496 4.864678923349851e-05
-0.3 0.0043017632761264985 6.579533044690194e-05
-0.3 0.0037956879054440893 6.914459550378487e-05
-0.3 0.004156561790880332 8.376202038855447e-05
-0.3 0.0038967218662981167 6.222391071686587e-05
-0.3 0.0044932353317061 8.158880596976538e-05
-0.3 0.0049574255825082176 5.912335480499481e-05
-0.3 0.0041835379031617 6.709064360930357e-05
-0.3 0.003805119676978909 7.518372683071397e-05
-0.3 0.0038055211972592468 7.580952374458621e-05
-0.3 0.003978217748737673 9.359189991530389e-05
-0.5 0.008780201379524734 0.0002908871395559049
-0.5 0.006541962778780687 0.0002997240104506716
-0.5 0.00723754234074535 0.00018197582381951105
-0.5 0.006310007883337965 0.00029899024221062597
-0.5 0.005252398123999134 0.0002560340556767118
-0.7 0.007968655544139778 0.00035439121991644293
-0.7 0.008917839018895948 0.00022852697983513428
-0.7 0.0076187708872991885 0.0003411223520663021
-0.7 0.008473427327606413 0.0004117588318908712
-0.9 0.009277144927874638 0.00035421635563490577
-0.9 0.008775044328639814 0.00025462517127006554
-0.9 0.010059302552709547 0.00022137864864452277
-0.9 0.009103328104778942 0.0003895943126448775
-1.0 0.008031629925313104 0.00015191875348123253
-1.0 0.008779040907635904 0.00022121674964730448
-1.15 0.006095161258112611 0.0001734621592165895
-1.15 0.008283574547075621 0.0004074635312289475
-1.3 0.006646426605864476 0.00038534929921101653
-1.3 0.006560108618310663 0.0002434893571635995
-1.3 0.006482375954623594 0.0003770680596920489
-1.3 0.0057692166335079256 0.0001885899453973365
-1.3 0.006929597573486118 0.00031890919866189713
-1.5 0.010029533343903496 0.0005580959072293377
-1.5 0.008301918407870958 0.0007414322949177885
-1.7 0.0025816505625383367 0.00018800408196378854
-1.7 0.002987177722401392 0.00026481497537555527
-1.7 0.003852174624635839 0.00028122385503896843
-1.7 0.0026609424927988823 0.00012685599807436528
-1.7 0.0028940961145071937 0.00011810520617409358
-1.9 0.0028509618358984953 8.043086867558588e-05
-1.9 0.0034071729028159674 0.00015641254935748662
-1.9 0.004219239567300526 0.0002654221243691815
-1.9 0.003620514738153423 0.00022281931173863208
-2.0 0.003856787381735645 0.0001074316169497801
-2.0 0.0031929834210463405 0.00015797954929658585
-2.0 0.003497324592669859 0.0001296538300469877
-2.0 0.003925320463306006 0.0001217956324548726
-1.4 0.007902571608900488 0.00043508428078388683
-1.4 0.006586077558750176 0.00025601037856091865
-1.4 0.007124702112231184 0.0003280567189655558
-1.35 0.006026612299348809 0.0004237121733094502
-1.35 0.006761984195070571 0.00027687370902914726
-1.4 0.006801261651414133 0.0004162714585848091
